"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"765",2017-08-19,"Sevilla","Espanol",1,1,"D"
"766",2017-08-20,"Ath Bilbao","Getafe",0,0,"D"
"767",2017-08-20,"Barcelona","Betis",2,0,"H"
"768",2017-08-20,"La Coruna","Real Madrid",0,3,"A"
"769",2017-08-21,"Levante","Villarreal",1,0,"H"
"770",2017-08-21,"Malaga","Eibar",0,1,"A"
"771",2017-08-25,"Betis","Celta",2,1,"H"
"772",2017-08-25,"Sociedad","Villarreal",3,0,"H"
"773",2017-08-26,"Alaves","Barcelona",0,2,"A"
"774",2017-08-26,"Girona","Malaga",1,0,"H"
"775",2017-08-26,"Las Palmas","Ath Madrid",1,5,"A"
"776",2017-08-26,"Levante","La Coruna",2,2,"D"
"777",2017-08-27,"Eibar","Ath Bilbao",0,1,"A"
"778",2017-08-27,"Espanol","Leganes",0,1,"A"
"779",2017-08-27,"Getafe","Sevilla",0,1,"A"
"780",2017-08-27,"Real Madrid","Valencia",2,2,"D"
"781",2017-09-08,"Leganes","Getafe",1,2,"A"
"782",2017-09-09,"Barcelona","Espanol",5,0,"H"
"783",2017-09-09,"Real Madrid","Levante",1,1,"D"
"784",2017-09-09,"Sevilla","Eibar",3,0,"H"
"785",2017-09-09,"Valencia","Ath Madrid",0,0,"D"
"786",2017-09-10,"Ath Bilbao","Girona",2,0,"H"
"787",2017-09-10,"Celta","Alaves",1,0,"H"
"788",2017-09-10,"La Coruna","Sociedad",2,4,"A"
"789",2017-09-10,"Villarreal","Betis",3,1,"H"
"790",2017-09-11,"Malaga","Las Palmas",1,3,"A"
"791",2017-09-15,"Eibar","Leganes",1,0,"H"
"792",2017-09-16,"Ath Madrid","Malaga",1,0,"H"
"793",2017-09-16,"Betis","La Coruna",2,1,"H"
"794",2017-09-16,"Getafe","Barcelona",1,2,"A"
"795",2017-09-16,"Levante","Valencia",1,1,"D"
"796",2017-09-17,"Alaves","Villarreal",0,3,"A"
"797",2017-09-17,"Girona","Sevilla",0,1,"A"
"798",2017-09-17,"Las Palmas","Ath Bilbao",1,0,"H"
"799",2017-09-17,"Sociedad","Real Madrid",1,3,"A"
"800",2017-09-18,"Espanol","Celta",2,1,"H"
"801",2017-09-19,"Barcelona","Eibar",6,1,"H"
"802",2017-09-19,"Valencia","Malaga",5,0,"H"
"803",2017-09-20,"Ath Bilbao","Ath Madrid",1,2,"A"
"804",2017-09-20,"La Coruna","Alaves",1,0,"H"
"805",2017-09-20,"Leganes","Girona",0,0,"D"
"806",2017-09-20,"Real Madrid","Betis",0,1,"A"
"807",2017-09-20,"Sevilla","Las Palmas",1,0,"H"
"808",2017-09-21,"Celta","Getafe",1,1,"D"
"809",2017-09-21,"Levante","Sociedad",3,0,"H"
"810",2017-09-21,"Villarreal","Espanol",0,0,"D"
"811",2017-09-23,"Alaves","Real Madrid",1,2,"A"
"812",2017-09-23,"Ath Madrid","Sevilla",2,0,"H"
"813",2017-09-23,"Girona","Barcelona",0,3,"A"
"814",2017-09-23,"Malaga","Ath Bilbao",3,3,"D"
"815",2017-09-24,"Eibar","Celta",0,4,"A"
"816",2017-09-24,"Espanol","La Coruna",4,1,"H"
"817",2017-09-24,"Getafe","Villarreal",4,0,"H"
"818",2017-09-24,"Las Palmas","Leganes",0,2,"A"
"819",2017-09-24,"Sociedad","Valencia",2,3,"A"
"820",2017-09-25,"Betis","Levante",4,0,"H"
"821",2017-09-29,"Celta","Girona",3,3,"D"
"822",2017-09-30,"La Coruna","Getafe",2,1,"H"
"823",2017-09-30,"Leganes","Ath Madrid",0,0,"D"
"824",2017-09-30,"Levante","Alaves",0,2,"A"
"825",2017-09-30,"Sevilla","Malaga",2,0,"H"
"826",2017-10-01,"Barcelona","Las Palmas",3,0,"H"
"827",2017-10-01,"Real Madrid","Espanol",2,0,"H"
"828",2017-10-01,"Sociedad","Betis",4,4,"D"
"829",2017-10-01,"Valencia","Ath Bilbao",3,2,"H"
"830",2017-10-01,"Villarreal","Eibar",3,0,"H"
"831",2017-10-13,"Espanol","Levante",0,0,"D"
"832",2017-10-14,"Alaves","Sociedad",0,2,"A"
"833",2017-10-14,"Ath Bilbao","Sevilla",1,0,"H"
"834",2017-10-14,"Ath Madrid","Barcelona",1,1,"D"
"835",2017-10-14,"Getafe","Real Madrid",1,2,"A"
"836",2017-10-15,"Betis","Valencia",3,6,"A"
"837",2017-10-15,"Eibar","La Coruna",0,0,"D"
"838",2017-10-15,"Girona","Villarreal",1,2,"A"
"839",2017-10-15,"Malaga","Leganes",0,2,"A"
"840",2017-10-16,"Las Palmas","Celta",2,5,"A"
"841",2017-10-21,"Barcelona","Malaga",2,0,"H"
"842",2017-10-21,"Betis","Alaves",2,0,"H"
"843",2017-10-21,"Levante","Getafe",1,1,"D"
"844",2017-10-21,"Valencia","Sevilla",4,0,"H"
"845",2017-10-22,"Celta","Ath Madrid",0,1,"A"
"846",2017-10-22,"Leganes","Ath Bilbao",1,0,"H"
"847",2017-10-22,"Real Madrid","Eibar",3,0,"H"
"848",2017-10-22,"Villarreal","Las Palmas",4,0,"H"
"849",2017-10-23,"La Coruna","Girona",1,2,"A"
"850",2017-10-23,"Sociedad","Espanol",1,1,"D"
"851",2017-10-28,"Alaves","Valencia",1,2,"A"
"852",2017-10-28,"Ath Bilbao","Barcelona",0,2,"A"
"853",2017-10-28,"Ath Madrid","Villarreal",1,1,"D"
"854",2017-10-28,"Sevilla","Leganes",2,1,"H"
"855",2017-10-29,"Eibar","Levante",2,2,"D"
"856",2017-10-29,"Getafe","Sociedad",2,1,"H"
"857",2017-10-29,"Girona","Real Madrid",2,1,"H"
"858",2017-10-29,"Malaga","Celta",2,1,"H"
"859",2017-10-30,"Espanol","Betis",1,0,"H"
"860",2017-10-30,"Las Palmas","La Coruna",1,3,"A"
"861",2017-11-03,"Betis","Getafe",2,2,"D"
"862",2017-11-04,"Alaves","Espanol",1,0,"H"
"863",2017-11-04,"Barcelona","Sevilla",2,1,"H"
"864",2017-11-04,"La Coruna","Ath Madrid",0,1,"A"
"865",2017-11-04,"Valencia","Leganes",3,0,"H"
"866",2017-11-05,"Celta","Ath Bilbao",3,1,"H"
"867",2017-11-05,"Levante","Girona",1,2,"A"
"868",2017-11-05,"Real Madrid","Las Palmas",3,0,"H"
"869",2017-11-05,"Sociedad","Eibar",3,1,"H"
"870",2017-11-05,"Villarreal","Malaga",2,0,"H"
"871",2017-11-17,"Girona","Sociedad",1,1,"D"
"872",2017-11-18,"Ath Madrid","Real Madrid",0,0,"D"
"873",2017-11-18,"Getafe","Alaves",4,1,"H"
"874",2017-11-18,"Leganes","Barcelona",0,3,"A"
"875",2017-11-18,"Sevilla","Celta",2,1,"H"
"876",2017-11-19,"Ath Bilbao","Villarreal",1,1,"D"
"877",2017-11-19,"Espanol","Valencia",0,2,"A"
"878",2017-11-19,"Las Palmas","Levante",0,2,"A"
"879",2017-11-19,"Malaga","La Coruna",3,2,"H"
"880",2017-11-20,"Eibar","Betis",5,0,"H"
"881",2017-11-24,"Celta","Leganes",1,0,"H"
"882",2017-11-25,"Alaves","Eibar",1,2,"A"
"883",2017-11-25,"Betis","Girona",2,2,"D"
"884",2017-11-25,"Levante","Ath Madrid",0,5,"A"
"885",2017-11-25,"Real Madrid","Malaga",3,2,"H"
"886",2017-11-26,"La Coruna","Ath Bilbao",2,2,"D"
"887",2017-11-26,"Sociedad","Las Palmas",2,2,"D"
"888",2017-11-26,"Valencia","Barcelona",1,1,"D"
"889",2017-11-26,"Villarreal","Sevilla",2,3,"A"
"890",2017-11-27,"Espanol","Getafe",1,0,"H"
"891",2017-12-01,"Malaga","Levante",0,0,"D"
"892",2017-12-02,"Ath Bilbao","Real Madrid",0,0,"D"
"893",2017-12-02,"Ath Madrid","Sociedad",2,1,"H"
"894",2017-12-02,"Barcelona","Celta",2,2,"D"
"895",2017-12-02,"Sevilla","La Coruna",2,0,"H"
"896",2017-12-03,"Eibar","Espanol",3,1,"H"
"897",2017-12-03,"Getafe","Valencia",1,0,"H"
"898",2017-12-03,"Las Palmas","Betis",1,0,"H"
"899",2017-12-03,"Leganes","Villarreal",3,1,"H"
"900",2017-12-04,"Girona","Alaves",2,3,"A"
"901",2017-12-08,"Alaves","Las Palmas",2,0,"H"
"902",2017-12-09,"Getafe","Eibar",0,0,"D"
"903",2017-12-09,"La Coruna","Leganes",1,0,"H"
"904",2017-12-09,"Real Madrid","Sevilla",5,0,"H"
"905",2017-12-09,"Valencia","Celta",2,1,"H"
"906",2017-12-10,"Betis","Ath Madrid",0,1,"A"
"907",2017-12-10,"Levante","Ath Bilbao",1,2,"A"
"908",2017-12-10,"Sociedad","Malaga",0,2,"A"
"909",2017-12-10,"Villarreal","Barcelona",0,2,"A"
"910",2017-12-11,"Espanol","Girona",0,1,"A"
"911",2017-12-15,"Sevilla","Levante",0,0,"D"
"912",2017-12-16,"Ath Bilbao","Sociedad",0,0,"D"
"913",2017-12-16,"Ath Madrid","Alaves",1,0,"H"
"914",2017-12-16,"Eibar","Valencia",2,1,"H"
"915",2017-12-17,"Barcelona","La Coruna",4,0,"H"
"916",2017-12-17,"Celta","Villarreal",0,1,"A"
"917",2017-12-17,"Girona","Getafe",1,0,"H"
"918",2017-12-17,"Las Palmas","Espanol",2,2,"D"
"919",2017-12-18,"Malaga","Betis",0,2,"A"
"920",2017-12-19,"Levante","Leganes",0,0,"D"
"921",2017-12-20,"Getafe","Las Palmas",2,0,"H"
"922",2017-12-20,"Sociedad","Sevilla",3,1,"H"
"923",2017-12-21,"Alaves","Malaga",1,0,"H"
"924",2017-12-21,"Eibar","Girona",4,1,"H"
"925",2017-12-22,"Betis","Ath Bilbao",0,2,"A"
"926",2017-12-22,"Espanol","Ath Madrid",1,0,"H"
"927",2017-12-23,"La Coruna","Celta",1,3,"A"
"928",2017-12-23,"Real Madrid","Barcelona",0,3,"A"
"929",2017-12-23,"Valencia","Villarreal",0,1,"A"
"930",2018-01-06,"Ath Madrid","Getafe",2,0,"H"
"931",2018-01-06,"Las Palmas","Eibar",1,2,"A"
"932",2018-01-06,"Sevilla","Betis",3,5,"A"
"933",2018-01-06,"Valencia","Girona",2,1,"H"
"934",2018-01-07,"Ath Bilbao","Alaves",2,0,"H"
"935",2018-01-07,"Barcelona","Levante",3,0,"H"
"936",2018-01-07,"Celta","Real Madrid",2,2,"D"
"937",2018-01-07,"Leganes","Sociedad",1,0,"H"
"938",2018-01-07,"Villarreal","La Coruna",1,1,"D"
"939",2018-01-08,"Malaga","Espanol",0,1,"A"
"940",2018-01-12,"Getafe","Malaga",1,0,"H"
"941",2018-01-13,"Eibar","Ath Madrid",0,1,"A"
"942",2018-01-13,"Girona","Las Palmas",6,0,"H"
"943",2018-01-13,"La Coruna","Valencia",1,2,"A"
"944",2018-01-13,"Real Madrid","Villarreal",0,1,"A"
"945",2018-01-14,"Alaves","Sevilla",1,0,"H"
"946",2018-01-14,"Espanol","Ath Bilbao",1,1,"D"
"947",2018-01-14,"Levante","Celta",0,1,"A"
"948",2018-01-14,"Sociedad","Barcelona",2,4,"A"
"949",2018-01-15,"Betis","Leganes",3,2,"H"
"950",2018-01-19,"Getafe","Ath Bilbao",2,2,"D"
"951",2018-01-20,"Ath Madrid","Girona",1,1,"D"
"952",2018-01-20,"Espanol","Sevilla",0,3,"A"
"953",2018-01-20,"Las Palmas","Valencia",2,1,"H"
"954",2018-01-20,"Villarreal","Levante",2,1,"H"
"955",2018-01-21,"Alaves","Leganes",2,2,"D"
"956",2018-01-21,"Betis","Barcelona",0,5,"A"
"957",2018-01-21,"Real Madrid","La Coruna",7,1,"H"
"958",2018-01-21,"Sociedad","Celta",1,2,"A"
"959",2018-01-22,"Eibar","Malaga",1,1,"D"
"960",2018-01-26,"Ath Bilbao","Eibar",1,1,"D"
"961",2018-01-27,"La Coruna","Levante",2,2,"D"
"962",2018-01-27,"Malaga","Girona",0,0,"D"
"963",2018-01-27,"Valencia","Real Madrid",1,4,"A"
"964",2018-01-27,"Villarreal","Sociedad",4,2,"H"
"965",2018-01-28,"Ath Madrid","Las Palmas",3,0,"H"
"966",2018-01-28,"Barcelona","Alaves",2,1,"H"
"967",2018-01-28,"Leganes","Espanol",3,2,"H"
"968",2018-01-28,"Sevilla","Getafe",1,1,"D"
"969",2018-01-29,"Celta","Betis",3,2,"H"
"970",2018-02-02,"Sociedad","La Coruna",5,0,"H"
"971",2018-02-03,"Alaves","Celta",2,1,"H"
"972",2018-02-03,"Betis","Villarreal",2,1,"H"
"973",2018-02-03,"Eibar","Sevilla",5,1,"H"
"974",2018-02-03,"Levante","Real Madrid",2,2,"D"
"975",2018-02-04,"Ath Madrid","Valencia",1,0,"H"
"976",2018-02-04,"Espanol","Barcelona",1,1,"D"
"977",2018-02-04,"Getafe","Leganes",0,0,"D"
"978",2018-02-04,"Girona","Ath Bilbao",2,0,"H"
"979",2018-02-05,"Las Palmas","Malaga",1,0,"H"
"980",2018-02-09,"Ath Bilbao","Las Palmas",0,0,"D"
"981",2018-02-10,"Leganes","Eibar",0,1,"A"
"982",2018-02-10,"Malaga","Ath Madrid",0,1,"A"
"983",2018-02-10,"Real Madrid","Sociedad",5,2,"H"
"984",2018-02-10,"Villarreal","Alaves",1,2,"A"
"985",2018-02-11,"Barcelona","Getafe",0,0,"D"
"986",2018-02-11,"Celta","Espanol",2,2,"D"
"987",2018-02-11,"Sevilla","Girona",1,0,"H"
"988",2018-02-11,"Valencia","Levante",3,1,"H"
"989",2018-02-12,"La Coruna","Betis",0,1,"A"
"990",2018-02-16,"Girona","Leganes",3,0,"H"
"991",2018-02-17,"Alaves","La Coruna",1,0,"H"
"992",2018-02-17,"Eibar","Barcelona",0,2,"A"
"993",2018-02-17,"Las Palmas","Sevilla",1,2,"A"
"994",2018-02-17,"Malaga","Valencia",1,2,"A"
"995",2018-02-18,"Ath Madrid","Ath Bilbao",2,0,"H"
"996",2018-02-18,"Betis","Real Madrid",3,5,"A"
"997",2018-02-18,"Espanol","Villarreal",1,1,"D"
"998",2018-02-18,"Sociedad","Levante",3,0,"H"
"999",2018-02-19,"Getafe","Celta",3,0,"H"
"1000",2018-02-21,"Leganes","Real Madrid",1,3,"A"
"1001",2018-02-23,"La Coruna","Espanol",0,0,"D"
"1002",2018-02-24,"Barcelona","Girona",6,1,"H"
"1003",2018-02-24,"Celta","Eibar",2,0,"H"
"1004",2018-02-24,"Leganes","Las Palmas",0,0,"D"
"1005",2018-02-24,"Real Madrid","Alaves",4,0,"H"
"1006",2018-02-25,"Ath Bilbao","Malaga",2,1,"H"
"1007",2018-02-25,"Sevilla","Ath Madrid",2,5,"A"
"1008",2018-02-25,"Valencia","Sociedad",2,1,"H"
"1009",2018-02-25,"Villarreal","Getafe",1,0,"H"
"1010",2018-02-26,"Levante","Betis",0,2,"A"
"1011",2018-02-27,"Espanol","Real Madrid",1,0,"H"
"1012",2018-02-27,"Girona","Celta",1,0,"H"
"1013",2018-02-28,"Ath Bilbao","Valencia",1,1,"D"
"1014",2018-02-28,"Ath Madrid","Leganes",4,0,"H"
"1015",2018-02-28,"Eibar","Villarreal",1,0,"H"
"1016",2018-02-28,"Getafe","La Coruna",3,0,"H"
"1017",2018-02-28,"Malaga","Sevilla",0,1,"A"
"1018",2018-03-01,"Alaves","Levante",1,0,"H"
"1019",2018-03-01,"Betis","Sociedad",0,0,"D"
"1020",2018-03-01,"Las Palmas","Barcelona",1,1,"D"
"1021",2018-03-03,"La Coruna","Eibar",1,1,"D"
"1022",2018-03-03,"Leganes","Malaga",2,0,"H"
"1023",2018-03-03,"Real Madrid","Getafe",3,1,"H"
"1024",2018-03-03,"Sevilla","Ath Bilbao",2,0,"H"
"1025",2018-03-03,"Villarreal","Girona",0,2,"A"
"1026",2018-03-04,"Barcelona","Ath Madrid",1,0,"H"
"1027",2018-03-04,"Levante","Espanol",1,1,"D"
"1028",2018-03-04,"Sociedad","Alaves",2,1,"H"
"1029",2018-03-04,"Valencia","Betis",2,0,"H"
"1030",2018-03-05,"Celta","Las Palmas",2,1,"H"
"1031",2018-03-09,"Girona","La Coruna",2,0,"H"
"1032",2018-03-10,"Eibar","Real Madrid",1,2,"A"
"1033",2018-03-10,"Getafe","Levante",0,1,"A"
"1034",2018-03-10,"Malaga","Barcelona",0,2,"A"
"1035",2018-03-10,"Sevilla","Valencia",0,2,"A"
"1036",2018-03-11,"Ath Bilbao","Leganes",2,0,"H"
"1037",2018-03-11,"Ath Madrid","Celta",3,0,"H"
"1038",2018-03-11,"Espanol","Sociedad",2,1,"H"
"1039",2018-03-11,"Las Palmas","Villarreal",0,2,"A"
"1040",2018-03-12,"Alaves","Betis",1,3,"A"
"1041",2018-03-16,"Levante","Eibar",2,1,"H"
"1042",2018-03-17,"Betis","Espanol",3,0,"H"
"1043",2018-03-17,"La Coruna","Las Palmas",1,1,"D"
"1044",2018-03-17,"Sociedad","Getafe",1,2,"A"
"1045",2018-03-17,"Valencia","Alaves",3,1,"H"
"1046",2018-03-18,"Barcelona","Ath Bilbao",2,0,"H"
"1047",2018-03-18,"Celta","Malaga",0,0,"D"
"1048",2018-03-18,"Leganes","Sevilla",2,1,"H"
"1049",2018-03-18,"Real Madrid","Girona",6,3,"H"
"1050",2018-03-18,"Villarreal","Ath Madrid",2,1,"H"
"1051",2018-03-31,"Ath Bilbao","Celta",1,1,"D"
"1052",2018-03-31,"Girona","Levante",1,1,"D"
"1053",2018-03-31,"Las Palmas","Real Madrid",0,3,"A"
"1054",2018-03-31,"Sevilla","Barcelona",2,2,"D"
"1055",2018-04-01,"Ath Madrid","La Coruna",1,0,"H"
"1056",2018-04-01,"Eibar","Sociedad",0,0,"D"
"1057",2018-04-01,"Espanol","Alaves",0,0,"D"
"1058",2018-04-01,"Leganes","Valencia",0,1,"A"
"1059",2018-04-01,"Malaga","Villarreal",1,0,"H"
"1060",2018-04-02,"Getafe","Betis",0,1,"A"
"1061",2018-04-06,"La Coruna","Malaga",3,2,"H"
"1062",2018-04-07,"Alaves","Getafe",2,0,"H"
"1063",2018-04-07,"Barcelona","Leganes",3,1,"H"
"1064",2018-04-07,"Betis","Eibar",2,0,"H"
"1065",2018-04-07,"Celta","Sevilla",4,0,"H"
"1066",2018-04-08,"Levante","Las Palmas",2,1,"H"
"1067",2018-04-08,"Real Madrid","Ath Madrid",1,1,"D"
"1068",2018-04-08,"Sociedad","Girona",5,0,"H"
"1069",2018-04-08,"Valencia","Espanol",1,0,"H"
"1070",2018-04-09,"Villarreal","Ath Bilbao",1,3,"A"
"1071",2018-04-13,"Girona","Betis",0,1,"A"
"1072",2018-04-14,"Ath Bilbao","La Coruna",2,3,"A"
"1073",2018-04-14,"Barcelona","Valencia",2,1,"H"
"1074",2018-04-14,"Las Palmas","Sociedad",0,1,"A"
"1075",2018-04-14,"Leganes","Celta",1,0,"H"
"1076",2018-04-14,"Sevilla","Villarreal",2,2,"D"
"1077",2018-04-15,"Ath Madrid","Levante",3,0,"H"
"1078",2018-04-15,"Eibar","Alaves",0,1,"A"
"1079",2018-04-15,"Getafe","Espanol",1,0,"H"
"1080",2018-04-15,"Malaga","Real Madrid",1,2,"A"
"1081",2018-04-17,"Celta","Barcelona",2,2,"D"
"1082",2018-04-17,"La Coruna","Sevilla",0,0,"D"
"1083",2018-04-17,"Villarreal","Leganes",2,1,"H"
"1084",2018-04-18,"Espanol","Eibar",0,1,"A"
"1085",2018-04-18,"Real Madrid","Ath Bilbao",1,1,"D"
"1086",2018-04-18,"Valencia","Getafe",1,2,"A"
"1087",2018-04-19,"Alaves","Girona",1,2,"A"
"1088",2018-04-19,"Betis","Las Palmas",1,0,"H"
"1089",2018-04-19,"Levante","Malaga",1,0,"H"
"1090",2018-04-19,"Sociedad","Ath Madrid",3,0,"H"
"1091",2018-04-20,"Leganes","La Coruna",0,0,"D"
"1092",2018-04-21,"Celta","Valencia",1,1,"D"
"1093",2018-04-21,"Eibar","Getafe",0,1,"A"
"1094",2018-04-22,"Ath Madrid","Betis",0,0,"D"
"1095",2018-04-22,"Girona","Espanol",0,2,"A"
"1096",2018-04-22,"Las Palmas","Alaves",0,4,"A"
"1097",2018-04-22,"Malaga","Sociedad",2,0,"H"
"1098",2018-04-23,"Ath Bilbao","Levante",1,3,"A"
"1099",2018-04-27,"Levante","Sevilla",2,1,"H"
"1100",2018-04-28,"Espanol","Las Palmas",1,1,"D"
"1101",2018-04-28,"Real Madrid","Leganes",2,1,"H"
"1102",2018-04-28,"Sociedad","Ath Bilbao",3,1,"H"
"1103",2018-04-28,"Villarreal","Celta",4,1,"H"
"1104",2018-04-29,"Alaves","Ath Madrid",0,1,"A"
"1105",2018-04-29,"Getafe","Girona",1,1,"D"
"1106",2018-04-29,"La Coruna","Barcelona",2,4,"A"
"1107",2018-04-29,"Valencia","Eibar",0,0,"D"
"1108",2018-04-30,"Betis","Malaga",2,1,"H"
"1109",2018-05-04,"Sevilla","Sociedad",1,0,"H"
"1110",2018-05-05,"Ath Bilbao","Betis",2,0,"H"
"1111",2018-05-05,"Celta","La Coruna",1,1,"D"
"1112",2018-05-05,"Girona","Eibar",1,4,"A"
"1113",2018-05-05,"Villarreal","Valencia",1,0,"H"
"1114",2018-05-06,"Ath Madrid","Espanol",0,2,"A"
"1115",2018-05-06,"Barcelona","Real Madrid",2,2,"D"
"1116",2018-05-06,"Las Palmas","Getafe",0,1,"A"
"1117",2018-05-06,"Malaga","Alaves",0,3,"A"
"1118",2018-05-07,"Leganes","Levante",0,3,"A"
"1119",2018-05-09,"Barcelona","Villarreal",5,1,"H"
"1120",2018-05-09,"Sevilla","Real Madrid",3,2,"H"
"1121",2018-05-12,"Alaves","Ath Bilbao",3,1,"H"
"1122",2018-05-12,"Betis","Sevilla",2,2,"D"
"1123",2018-05-12,"Eibar","Las Palmas",1,0,"H"
"1124",2018-05-12,"Getafe","Ath Madrid",0,1,"A"
"1125",2018-05-12,"Girona","Valencia",0,1,"A"
"1126",2018-05-12,"La Coruna","Villarreal",2,4,"A"
"1127",2018-05-12,"Real Madrid","Celta",6,0,"H"
"1128",2018-05-12,"Sociedad","Leganes",3,2,"H"
"1129",2018-05-13,"Espanol","Malaga",4,1,"H"
"1130",2018-05-13,"Levante","Barcelona",5,4,"H"
"1131",2018-05-19,"Celta","Levante",4,2,"H"
"1132",2018-05-19,"Las Palmas","Girona",1,2,"A"
"1133",2018-05-19,"Leganes","Betis",3,2,"H"
"1134",2018-05-19,"Malaga","Getafe",0,1,"A"
"1135",2018-05-19,"Sevilla","Alaves",1,0,"H"
"1136",2018-05-19,"Villarreal","Real Madrid",2,2,"D"
"1137",2018-05-20,"Ath Bilbao","Espanol",0,1,"A"
"1138",2018-05-20,"Ath Madrid","Eibar",2,2,"D"
"1139",2018-05-20,"Barcelona","Sociedad",1,0,"H"
"1140",2018-05-20,"Valencia","La Coruna",2,1,"H"
"1141",2018-08-17,"Betis","Levante",0,3,"A"
"1142",2018-08-17,"Girona","Valladolid",0,0,"D"
"1143",2018-08-18,"Barcelona","Alaves",3,0,"H"
"1144",2018-08-18,"Celta","Espanol",1,1,"D"
"1145",2018-08-18,"Villarreal","Sociedad",1,2,"A"
"1146",2018-08-19,"Eibar","Huesca",1,2,"A"
